"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
23,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
24,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",3358.1
25,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1016.4
26,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2271.0
27,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",153.4
28,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
29,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Agreed-Upon Meeting Location",
30,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
31,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",3358.1
32,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1284.0
33,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2004.2
34,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",152.6
35,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
36,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Prepared Emergency Evacuation Kit",
37,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
38,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2451.2
39,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1758.3
40,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",173.6
41,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
42,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Access to Vital Financial Information",
43,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
44,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3283.8
45,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",902.4
46,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",197.0
47,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
48,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Assistance Needed Evacuating or Sheltering Pets",
49,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
50,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Need help evacuating or sheltering pets",533.4
51,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Do not need help with pets",1154.1
52,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No pets",2598.2
53,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",97.4
54,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
55,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Funds of up to $2,000",
56,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
57,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3132.4
58,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1014.2
59,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",236.5
60,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
61,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Vehicle(s) Available",
62,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
63,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3972.9
64,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",292.7
65,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",117.5
66,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
67,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Likely Place to Stay During a 2-Week Evacuation",
68,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
69,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","With relatives or friends",2526.1
70,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Public shelter",352.4
71,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Hotel or motel",1073.2
72,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Travel trailer or recreational vehicle","S"
73,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other",135.5
74,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",260.8
75,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
76,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","First Source of Emergency Information During Disaster",
77,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
78,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Family, friends, or neighbors",931.1
79,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Radio",726.8
80,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Television",895.5
81,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Internet (including Facebook and Twitter)",1498.4
82,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other source",169.4
83,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",162.0
84,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
85,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Has Tornado Safe Room or Shelter",
86,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
87,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes","."
88,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No","."
89,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","."
90,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
91,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Covered by Flood Insurance",
92,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
93,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Owner-occupied units",2114.8
94,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",201.3
95,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Required for home purchase or refinancing",84.4
96,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy after a neighbor bought it","S"
97,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy for other reasons",98.3
98,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1765.0
99,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",152.7
100,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
101,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Disaster Repairs in the Last Two Years for Rental Units",
102,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
103,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Renter-occupied units",2280.9
104,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes","S"
105,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Storm (including tornado or hurricane)","S"
106,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Fire","S"
107,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Flood","S"
108,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Other","S"
109,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2188.6
110,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",44.7

