"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
32,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",362.2
33,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",876.3
34,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",22.3
35,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
36,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Prepared Emergency Evacuation Kit",
37,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
38,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",806.4
39,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",845.2
40,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
41,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
42,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Access to Vital Financial Information",
43,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
44,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1338.6
45,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",296.0
46,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",34.0
47,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
48,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Assistance Needed Evacuating or Sheltering Pets",
49,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
50,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Need help evacuating or sheltering pets",193.2
51,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Do not need help with pets",703.7
52,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No pets",753.9
53,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
54,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
55,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Funds of up to $2,000",
56,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
57,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1281.5
58,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",354.2
59,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",32.9
60,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
61,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Vehicle(s) Available",
62,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
63,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1576.0
64,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",76.3
65,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
66,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
67,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Likely Place to Stay During a 2-Week Evacuation",
68,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
69,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","With relatives or friends",948.0
70,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Public shelter",76.3
71,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Hotel or motel",501.8
72,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Travel trailer or recreational vehicle",52.2
73,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other",57.1
74,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",33.2
75,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
76,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","First Source of Emergency Information During Disaster",
77,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
78,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Family, friends, or neighbors",253.1
79,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Radio",152.6
80,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Television",567.7
81,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Internet (including Facebook and Twitter)",600.3
82,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other source",76.2
83,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",18.8
84,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
85,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Has Tornado Safe Room or Shelter",
86,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
87,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes","."
88,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No","."
89,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","."
90,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
91,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Covered by Flood Insurance",
92,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
93,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Owner-occupied units",1092.3
94,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",79.8
95,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Required for home purchase or refinancing",17.7
96,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy after a neighbor bought it","S"
97,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy for other reasons",58.6
98,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",940.1
99,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",45.2
100,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
101,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Disaster Repairs in the Last Two Years for Rental Units",
102,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
103,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Renter-occupied units",593.3
104,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes","."
105,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Storm (including tornado or hurricane)","."
106,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Fire","."
107,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Flood","."
108,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Other","."
109,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",602.2
110,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"

