"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
55,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Funds of up to $2,000",
56,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
57,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1769.8
58,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",529.3
59,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",36.8
60,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
61,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Vehicle(s) Available",
62,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
63,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2214.9
64,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",105.4
65,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
66,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
67,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Likely Place to Stay During a 2-Week Evacuation",
68,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
69,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","With relatives or friends",1512.6
70,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Public shelter",100.1
71,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Hotel or motel",591.1
72,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Travel trailer or recreational vehicle","S"
73,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other",71.9
74,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",48.0
75,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
76,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","First Source of Emergency Information During Disaster",
77,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
78,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Family, friends, or neighbors",429.8
79,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Radio",214.8
80,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Television",1010.0
81,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Internet (including Facebook and Twitter)",594.6
82,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Other source",72.6
83,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
84,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
85,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Has Tornado Safe Room or Shelter",
86,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
87,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",84.8
88,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2061.3
89,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
90,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
91,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Home Covered by Flood Insurance",
92,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
93,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Owner-occupied units",1432.2
94,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",514.9
95,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Required for home purchase or refinancing",110.1
96,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy after a neighbor bought it",29.8
97,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Decided to buy for other reasons",375.0
98,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",856.7
99,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",47.6
100,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
101,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Disaster Repairs in the Last Two Years for Rental Units",
102,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
103,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    Renter-occupied units",896.8
104,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",41.6
105,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Storm (including tornado or hurricane)","S"
106,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Fire","S"
107,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Flood","S"
108,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","  Other","S"
109,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",875.1
110,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","."

